FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%     543.243us         0.03%       4.668ms       1.556ms       0.000us         0.00%      60.191ms      20.064ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%     562.482us         0.03%       4.313ms       1.438ms       0.000us         0.00%      60.171ms      20.057ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%     504.947us         0.02%       3.731ms       1.244ms       0.000us         0.00%      60.098ms      20.033ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      60.052ms         1.00%      60.052ms      20.017ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      60.031ms         1.00%      60.031ms      20.010ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      59.958ms         1.00%      59.958ms      19.986ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%     532.240us         0.02%       3.912ms       1.304ms       0.000us         0.00%      59.922ms      19.974ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      59.783ms         0.99%      59.783ms      19.928ms             3  
                                           aten::linear         0.02%       3.182ms         0.52%      84.132ms     126.897us       0.000us         0.00%      58.706ms      88.546us           663  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%     169.638us         0.01%       1.813ms     151.080us       0.000us         0.00%      57.917ms       4.826ms            12  
                ScaledDotProductFlashAttentionBackward0         0.00%     460.871us         0.01%       1.643ms     136.943us       0.000us         0.00%      57.917ms       4.826ms            12  
     aten::_scaled_dot_product_flash_attention_backward         0.00%     476.541us         0.01%       1.182ms      98.537us       0.000us         0.00%      57.917ms       4.826ms            12  
