FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%     160.227us         0.06%       3.595ms     299.602us       0.000us         0.00%      28.899ms       2.408ms            12  
                ScaledDotProductFlashAttentionBackward0         0.02%       1.331ms         0.06%       3.435ms     286.250us       0.000us         0.00%      28.899ms       2.408ms            12  
     aten::_scaled_dot_product_flash_attention_backward         0.02%       1.364ms         0.04%       2.104ms     175.373us       0.000us         0.00%      28.899ms       2.408ms            12  
                        aten::_flash_attention_backward         0.00%     195.752us         0.01%     623.973us      51.998us      28.899ms         3.47%      28.899ms       2.408ms            12  
    autograd::engine::evaluate_function: IndexBackward0         0.01%     583.516us         5.63%     337.985ms       6.259ms       0.000us         0.00%      27.462ms     508.553us            54  
                                         IndexBackward0         0.02%     909.243us         5.62%     337.316ms       6.247ms       0.000us         0.00%      27.043ms     500.799us            54  
autograd::engine::evaluate_function: ToCopyBackward0...         0.08%       5.047ms         0.36%      21.584ms      18.736us       0.000us         0.00%      26.638ms      23.123us          1152  
void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_par...         0.00%       0.000us         0.00%       0.000us       0.000us      24.987ms         3.00%      24.987ms       2.082ms            12  
                                            aten::clone         0.07%       4.217ms         0.34%      20.353ms      14.046us       0.000us         0.00%      23.951ms      16.529us          1449  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      23.505ms         2.82%      23.505ms       1.306ms            18  
[pl][module]hepattn.models.task.IncidenceBasedRegres...         0.00%       0.000us         0.00%       0.000us       0.000us      23.374ms         2.81%      23.374ms       7.791ms             3  
[pl][module]hepattn.models.task.IncidenceBasedRegres...         0.03%       2.074ms         0.15%       9.275ms       3.092ms       0.000us         0.00%      23.289ms       7.763ms             3  
                                           aten::matmul         0.00%     225.242us         0.04%       2.266ms      75.527us       0.000us         0.00%      22.500ms     749.990us            30  
                                        ToCopyBackward0         0.03%       1.625ms         0.26%      15.388ms      13.357us       0.000us         0.00%      21.914ms      19.022us          1152  
                                               aten::mm         1.62%      97.312ms         1.69%     101.605ms     144.736us      20.741ms         2.49%      20.741ms      29.545us           702  
                                            aten::where         0.01%     728.538us         0.04%       2.562ms      29.444us      16.253ms         1.95%      20.618ms     236.990us            87  
                                         AddmmBackward0         0.03%       1.671ms         1.76%     105.921ms     301.768us       0.000us         0.00%      20.611ms      58.721us           351  
                                              aten::mul         0.64%      38.228ms         0.67%      40.039ms      82.897us      18.656ms         2.24%      18.656ms      38.625us           483  
                                           aten::linear         0.05%       2.837ms         1.19%      71.331ms     107.587us       0.000us         0.00%      18.077ms      27.266us           663  
                                       aten::index_put_         0.00%     180.284us         0.07%       4.211ms      93.587us       0.000us         0.00%      17.756ms     394.572us            45  
          aten::_scaled_dot_product_efficient_attention         0.00%     148.469us         0.02%       1.031ms      85.924us       0.000us         0.00%      17.740ms       1.478ms            12  
                     aten::_efficient_attention_forward         0.01%     582.843us         0.01%     773.545us      64.462us      17.740ms         2.13%      17.740ms       1.478ms            12  
fmha_cutlassF_bf16_aligned_64x64_rf_sm80(PyTorchMemE...         0.00%       0.000us         0.00%       0.000us       0.000us      17.740ms         2.13%      17.740ms       1.478ms            12  
autograd::engine::evaluate_function: FlashAttnVarlen...         0.00%     282.696us         0.07%       3.932ms     218.448us       0.000us         0.00%      17.498ms     972.092us            18  
                            FlashAttnVarlenFuncBackward         0.02%       1.054ms         0.06%       3.649ms     202.743us       0.000us         0.00%      17.498ms     972.092us            18  
                flash_attn::_flash_attn_varlen_backward         0.03%       1.866ms         0.04%       2.313ms     128.490us      17.498ms         2.10%      17.498ms     972.092us            18  
                           aten::_softmax_backward_data         0.00%     141.031us         0.01%     362.114us      24.141us       8.609ms         1.03%      16.950ms       1.130ms            15  
[pl][profile][LightningModule]MPflow.transfer_batch_...         0.00%       0.000us         0.00%       0.000us       0.000us      16.472ms         1.98%      16.472ms       5.491ms             3  
[pl][profile][Strategy]SingleDeviceStrategy.batch_to...         0.00%     200.914us         0.03%       1.727ms     575.759us       0.000us         0.00%      16.343ms       5.448ms             3  
[pl][profile][LightningModule]MPflow.transfer_batch_...         0.01%     478.325us         0.02%       1.485ms     494.938us       0.000us         0.00%      16.343ms       5.448ms             3  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      16.343ms         1.96%      16.343ms     272.381us            60  
autograd::engine::evaluate_function: SafeSoftmaxBack...         0.00%      49.431us         0.01%     360.663us      30.055us       0.000us         0.00%      15.960ms       1.330ms            12  
                                   SafeSoftmaxBackward0         0.00%      36.039us         0.01%     311.232us      25.936us       0.000us         0.00%      15.960ms       1.330ms            12  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.616ms         1.87%      15.616ms      11.939us          1308  
                                          aten::softmax         0.00%     160.963us         0.01%     826.537us      30.612us       0.000us         0.00%      14.706ms     544.669us            27  
void flash::flash_bwd_dq_dk_dv_loop_seqk_parallel_ke...         0.00%       0.000us         0.00%       0.000us       0.000us      14.445ms         1.73%      14.445ms     802.496us            18  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.003s
Self CUDA time total: 833.004ms
