FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
[pl][module]hepattn.models.attention.Attention: mode...         0.02%     528.958us         0.15%       4.347ms       1.449ms       0.000us         0.00%      29.452ms       9.817ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      29.433ms         2.24%      29.433ms       9.811ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      29.428ms         2.24%      29.428ms       9.809ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      29.424ms         2.24%      29.424ms       9.808ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      29.418ms         2.24%      29.418ms       9.806ms             3  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%     133.756us         0.06%       1.777ms     148.078us       0.000us         0.00%      28.891ms       2.408ms            12  
                ScaledDotProductFlashAttentionBackward0         0.02%     595.972us         0.06%       1.643ms     136.931us       0.000us         0.00%      28.891ms       2.408ms            12  
     aten::_scaled_dot_product_flash_attention_backward         0.02%     453.302us         0.04%       1.047ms      87.267us       0.000us         0.00%      28.891ms       2.408ms            12  
                        aten::_flash_attention_backward         0.01%     157.444us         0.02%     506.508us      42.209us      28.891ms         2.20%      28.891ms       2.408ms            12  
autograd::engine::evaluate_function: ToCopyBackward0...         0.15%       4.377ms         0.71%      20.408ms      17.715us       0.000us         0.00%      26.565ms      23.060us          1152  
                                            aten::where         0.03%     883.948us         0.09%       2.724ms      23.286us      21.802ms         1.66%      26.167ms     223.650us           117  
void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_par...         0.00%       0.000us         0.00%       0.000us       0.000us      24.975ms         1.90%      24.975ms       2.081ms            12  
                                            aten::clone         0.12%       3.578ms         0.61%      17.554ms      11.726us       0.000us         0.00%      24.015ms      16.042us          1497  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      23.467ms         1.79%      23.467ms       1.304ms            18  
[pl][module]hepattn.models.task.IncidenceBasedRegres...         0.00%       0.000us         0.00%       0.000us       0.000us      23.375ms         1.78%      23.375ms       7.792ms             3  
[pl][module]hepattn.models.task.IncidenceBasedRegres...         0.08%       2.273ms         0.30%       8.793ms       2.931ms       0.000us         0.00%      23.284ms       7.761ms             3  
                                           aten::matmul         0.01%     200.924us         0.07%       2.000ms      66.662us       0.000us         0.00%      22.480ms     749.324us            30  
                                        ToCopyBackward0         0.06%       1.640ms         0.52%      15.048ms      13.062us       0.000us         0.00%      21.845ms      18.963us          1152  
    autograd::engine::evaluate_function: IndexBackward0         0.01%     289.183us         7.52%     217.376ms       4.025ms       0.000us         0.00%      20.825ms     385.639us            54  
                                               aten::mm         2.68%      77.493ms         2.81%      81.316ms     115.834us      20.612ms         1.57%      20.612ms      29.362us           702  
                                         AddmmBackward0         0.05%       1.525ms         2.95%      85.135ms     242.550us       0.000us         0.00%      20.483ms      58.356us           351  
                                         IndexBackward0         0.03%     808.883us         7.51%     217.014ms       4.019ms       0.000us         0.00%      20.405ms     377.873us            54  
                                              aten::mul         0.12%       3.341ms         0.18%       5.188ms      10.546us      19.135ms         1.46%      19.135ms      38.892us           492  
[pl][module]hepattn.models.matcher.Matcher: model.ma...         0.09%       2.641ms         2.53%      73.162ms      24.387ms       0.000us         0.00%      18.529ms       6.176ms             3  
                                           aten::linear         0.10%       2.812ms         2.21%      63.992ms      96.519us       0.000us         0.00%      17.997ms      27.145us           663  
                                       aten::index_put_         0.01%     211.334us         0.15%       4.211ms      93.588us       0.000us         0.00%      17.763ms     394.723us            45  
          aten::_scaled_dot_product_efficient_attention         0.00%     138.431us         0.03%     930.719us      77.560us       0.000us         0.00%      17.725ms       1.477ms            12  
                     aten::_efficient_attention_forward         0.02%     503.792us         0.02%     681.476us      56.790us      17.725ms         1.35%      17.725ms       1.477ms            12  
fmha_cutlassF_bf16_aligned_64x64_rf_sm80(PyTorchMemE...         0.00%       0.000us         0.00%       0.000us       0.000us      17.725ms         1.35%      17.725ms       1.477ms            12  
autograd::engine::evaluate_function: FlashAttnVarlen...         0.01%     241.393us         0.12%       3.400ms     188.912us       0.000us         0.00%      17.536ms     974.207us            18  
                            FlashAttnVarlenFuncBackward         0.03%     929.404us         0.11%       3.159ms     175.502us       0.000us         0.00%      17.536ms     974.207us            18  
                flash_attn::_flash_attn_varlen_backward         0.06%       1.601ms         0.07%       2.008ms     111.555us      17.536ms         1.33%      17.536ms     974.207us            18  
                           aten::_softmax_backward_data         0.00%     123.005us         0.01%     319.658us      21.311us       8.600ms         0.65%      16.931ms       1.129ms            15  
[pl][profile][LightningModule]MPflow.transfer_batch_...         0.00%       0.000us         0.00%       0.000us       0.000us      16.460ms         1.25%      16.460ms       5.487ms             3  
[pl][profile][Strategy]SingleDeviceStrategy.batch_to...         0.01%     243.355us         0.09%       2.694ms     898.003us       0.000us         0.00%      16.331ms       5.444ms             3  
[pl][profile][LightningModule]MPflow.transfer_batch_...         0.05%       1.409ms         0.08%       2.394ms     797.840us       0.000us         0.00%      16.331ms       5.444ms             3  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      16.331ms         1.24%      16.331ms     272.183us            60  
autograd::engine::evaluate_function: SafeSoftmaxBack...         0.00%      45.335us         0.01%     320.094us      26.674us       0.000us         0.00%      15.942ms       1.329ms            12  
                                   SafeSoftmaxBackward0         0.00%      30.805us         0.01%     274.759us      22.897us       0.000us         0.00%      15.942ms       1.329ms            12  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.513ms         1.18%      15.513ms      11.860us          1308  
                                          aten::softmax         0.00%      94.054us         0.02%     690.869us      25.588us       0.000us         0.00%      14.708ms     544.754us            27  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.531ms         1.11%      14.531ms     807.269us            18  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.890s
Self CUDA time total: 1.314s
