FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
[pl][module]hepattn.models.matcher.Matcher: model.ma...        34.62%        3.056s        36.46%        3.218s        1.073s       0.000us         0.00%      45.642ms      15.214ms             3  
                                          aten::reshape         0.03%       2.460ms         0.08%       7.151ms       3.895us       0.000us         0.00%      45.099ms      24.564us          1836  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      44.552ms         3.01%      44.552ms       1.856ms            24  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      44.221ms         2.99%      44.221ms     359.517us           123  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      42.563ms         2.88%      42.563ms     644.892us            66  
                                              aten::mul         0.47%      41.219ms         0.49%      43.329ms      89.707us      39.288ms         2.66%      39.288ms      81.343us           483  
void at::native::(anonymous namespace)::GammaBetaBac...         0.00%       0.000us         0.00%       0.000us       0.000us      38.310ms         2.59%      38.310ms     510.802us            75  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      36.747ms         2.49%      36.747ms     110.350us           333  
          aten::_scaled_dot_product_efficient_attention         0.00%     152.767us         0.01%       1.211ms     100.911us       0.000us         0.00%      35.550ms       2.963ms            12  
                     aten::_efficient_attention_forward         0.01%     749.432us         0.01%     942.569us      78.547us      35.550ms         2.40%      35.550ms       2.963ms            12  
fmha_cutlassF_bf16_aligned_64x64_rf_sm80(PyTorchMemE...         0.00%       0.000us         0.00%       0.000us       0.000us      35.550ms         2.40%      35.550ms       2.963ms            12  
