FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      47.132ms         2.72%      47.132ms     189.284us           249  
                                          aten::reshape         0.04%       1.630ms         0.12%       5.223ms       2.845us       0.000us         0.00%      46.654ms      25.411us          1836  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%     133.500us         0.03%       1.495ms     124.583us       0.000us         0.00%      46.500ms       3.875ms            12  
                ScaledDotProductFlashAttentionBackward0         0.01%     393.788us         0.03%       1.361ms     113.458us       0.000us         0.00%      46.500ms       3.875ms            12  
     aten::_scaled_dot_product_flash_attention_backward         0.01%     405.029us         0.02%     967.708us      80.642us       0.000us         0.00%      46.500ms       3.875ms            12  
                        aten::_flash_attention_backward         0.00%     146.351us         0.01%     467.447us      38.954us      46.500ms         2.68%      46.500ms       3.875ms            12  
                                            aten::addmm         0.15%       6.249ms         0.18%       7.658ms      21.819us      45.087ms         2.60%      45.087ms     128.452us           351  
                                            aten::where         0.01%     637.702us         0.05%       2.166ms      24.900us      41.695ms         2.41%      44.439ms     510.797us            87  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      42.889ms         2.47%      42.889ms       2.383ms            18  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      42.232ms         2.44%      42.232ms     343.348us           123  
                                          aten::softmax         0.00%     139.446us         0.02%     742.876us      27.514us       0.000us         0.00%      41.422ms       1.534ms            27  
                                         aten::_softmax         0.01%     227.129us         0.01%     368.371us      13.643us      41.237ms         2.38%      41.237ms       1.527ms            27  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us      40.693ms         2.35%      40.693ms       3.391ms            12  
fmha_cutlassB_bf16_aligned_64x64_k32_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us      39.528ms         2.28%      39.528ms       3.294ms            12  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      39.387ms         2.27%      39.387ms     193.074us           204  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      39.305ms         2.27%      39.305ms       2.620ms            15  
                                              aten::add         0.10%       4.205ms         0.40%      17.155ms      14.815us      37.586ms         2.17%      37.760ms      32.608us          1158  
                                 aten::_index_put_impl_         0.09%       3.899ms        19.42%     831.888ms       8.403ms      21.267ms         1.23%      36.992ms     373.660us            99  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      36.884ms         2.13%      36.884ms     146.367us           252  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      34.715ms         2.00%      34.715ms     282.239us           123  
autograd::engine::evaluate_function: FlashAttnVarlen...         0.01%     222.997us         0.07%       2.907ms     161.521us       0.000us         0.00%      31.373ms       1.743ms            18  
                            FlashAttnVarlenFuncBackward         0.02%     776.985us         0.06%       2.684ms     149.132us       0.000us         0.00%      31.373ms       1.743ms            18  
                flash_attn::_flash_attn_varlen_backward         0.03%       1.350ms         0.04%       1.685ms      93.625us      31.373ms         1.81%      31.373ms       1.743ms            18  
     autograd::engine::evaluate_function: SiluBackward0         0.01%     520.528us         0.04%       1.691ms      14.095us       0.000us         0.00%      30.896ms     257.463us           120  
                                          SiluBackward0         0.00%     173.229us         0.03%       1.171ms       9.757us       0.000us         0.00%      30.896ms     257.463us           120  
                                    aten::silu_backward         0.01%     627.495us         0.02%     997.603us       8.313us      30.896ms         1.78%      30.896ms     257.463us           120  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.896ms         1.78%      30.896ms     257.463us           120  
                                        SelectBackward0         0.01%     497.979us         0.08%       3.310ms      24.516us       0.000us         0.00%      29.931ms     221.712us           135  
                                  aten::select_backward         0.01%     238.331us         0.07%       2.812ms      20.827us       0.000us         0.00%      29.931ms     221.712us           135  
     autograd::engine::evaluate_function: ViewBackward0         0.06%       2.513ms         0.13%       5.700ms       5.475us       0.000us         0.00%      29.324ms      28.169us          1041  
                                          ViewBackward0         0.02%     674.892us         0.07%       3.187ms       3.061us       0.000us         0.00%      29.324ms      28.169us          1041  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.283s
Self CUDA time total: 1.734s
