FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      60.150ms         1.29%      60.150ms      20.050ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      60.057ms         1.29%      60.057ms      20.019ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%     431.320us         0.02%       3.101ms       1.034ms       0.000us         0.00%      60.021ms      20.007ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      59.884ms         1.29%      59.884ms      19.961ms             3  
                                           aten::linear         0.02%       3.500ms         0.40%      65.913ms      99.416us       0.000us         0.00%      58.748ms      88.609us           663  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%     143.466us         0.01%       1.698ms     141.513us       0.000us         0.00%      57.874ms       4.823ms            12  
                ScaledDotProductFlashAttentionBackward0         0.00%     488.960us         0.01%       1.555ms     129.557us       0.000us         0.00%      57.874ms       4.823ms            12  
     aten::_scaled_dot_product_flash_attention_backward         0.00%     452.889us         0.01%       1.066ms      88.811us       0.000us         0.00%      57.874ms       4.823ms            12  
                        aten::_flash_attention_backward         0.00%     167.496us         0.00%     509.337us      42.445us      57.874ms         1.24%      57.874ms       4.823ms            12  
                                           aten::matmul         0.00%     249.565us         0.01%       1.835ms      61.166us       0.000us         0.00%      56.005ms       1.867ms            30  
                                              aten::sum         0.04%       6.178ms         0.07%      11.160ms      13.334us      51.984ms         1.12%      52.421ms      62.630us           837  
                                               aten::mm         0.15%      25.046ms         0.18%      28.792ms      41.014us      50.014ms         1.07%      50.014ms      71.244us           702  
void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_par...         0.00%       0.000us         0.00%       0.000us       0.000us      49.984ms         1.07%      49.984ms       4.165ms            12  
                                         AddmmBackward0         0.01%       1.541ms         0.20%      32.461ms      92.483us       0.000us         0.00%      49.883ms     142.118us           351  
                                 aten::_index_put_impl_         0.07%      10.722ms        10.51%        1.721s      13.340ms      29.234ms         0.63%      49.723ms     385.447us           129  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us      48.087ms         1.03%      48.087ms     222.626us           216  
